Rank_Number,Protein_Name,x_OfSpectra_20191003_Yeast_QEHFx_200ng_450nl_80min_01_191004,x_OfSpectra_20191003_Yeast_QEHFx_200ng_450nl_80min_04_191004,x_OfSpectra_20191004_Yeast_QEHFx_200ng_450nl_80min_01_191004,Max_x_OfSpectra,Sum_x_OfSpectra,x_AA_sInProtein,Contaminant
1502,>sp|P54000|SUB1_YEAST RNA polymerase II transcriptional coactivator SUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUB1 PE=1 SV=1,5,3,1,5,9,5,0
1503,>sp|P54003|SUR7_YEAST Protein SUR7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUR7 PE=1 SV=1,2,3,2,3,7,2,0
1504,>sp|P54113|PUR91_YEAST Bifunctional purine biosynthesis protein ADE16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE16 PE=1 SV=1,9,14,19,19,42,9,0
1505,>sp|P54114|ALDH3_YEAST Aldehyde dehydrogenase [NAD(P)+] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALD3 PE=1 SV=1,11,14,24,24,49,11,0
1506,>sp|P54115|ALDH6_YEAST Magnesium-activated aldehyde dehydrogenase- cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALD6 PE=1 SV=4,52,49,80,80,181,52,0
1507,>sp|P54730|UBX4_YEAST UBX domain-containing protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBX4 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1508,>sp|P54783|ALO_YEAST D-arabinono-1-4-lactone oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALO1 PE=1 SV=1,4,6,11,11,21,4,0
1509,>sp|P54785|MOT3_YEAST Transcriptional activator/repressor MOT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MOT3 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1510,>sp|P54837|TMEDA_YEAST Endoplasmic reticulum vesicle protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERV25 PE=1 SV=1,2,1,-Inf,2,3,2,0
1511,>sp|P54838|DAK1_YEAST Dihydroxyacetone kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAK1 PE=1 SV=1,15,19,30,30,64,15,0
1512,>sp|P54839|HMCS_YEAST Hydroxymethylglutaryl-CoA synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG13 PE=1 SV=1,20,17,29,29,66,20,0
1513,>sp|P54860|UFD2_YEAST E4 ubiquitin-protein ligase UFD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UFD2 PE=1 SV=3,-Inf,10,4,10,14,-Inf,0
1514,>sp|P54861|DNM1_YEAST Dynamin-related protein DNM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNM1 PE=1 SV=1,8,4,15,15,27,8,0
1515,>sp|P54885|PROA_YEAST Gamma-glutamyl phosphate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRO2 PE=1 SV=1,15,10,24,24,49,15,0
1516,>sp|P56628|RL22B_YEAST 60S ribosomal protein L22-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL22B PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
1517,>sp|P57743|LSM3_YEAST U6 snRNA-associated Sm-like protein LSm3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSM3 PE=1 SV=1,-Inf,1,3,3,4,-Inf,0
1518,>sp|P57744|TIM8_YEAST Mitochondrial import inner membrane translocase subunit TIM8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM8 PE=1 SV=1,1,2,-Inf,2,3,1,0
1519,>sp|P60010|ACT_YEAST Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACT1 PE=1 SV=1,78,83,98,98,259,78,0
1520,>sp|P61830|H3_YEAST Histone H3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HHT1 PE=1 SV=2,13,13,12,13,38,13,0
1521,>sp|P69771|DID2_YEAST Vacuolar protein-sorting-associated protein 46 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DID2 PE=1 SV=1,4,7,5,7,16,4,0
1522,>sp|P69850|DAD3_YEAST DASH complex subunit DAD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAD3 PE=1 SV=1,1,1,1,1,3,1,0
1523,>sp|P80210|PURA_YEAST Adenylosuccinate synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE12 PE=1 SV=3,19,21,34,34,74,19,0
1524,>sp|P80428|ARP4_YEAST Actin-related protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARP4 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1525,>sp|P80967|TOM5_YEAST Mitochondrial import receptor subunit TOM5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM5 PE=1 SV=1,2,2,2,2,6,2,0
1526,>sp|P87108|TIM10_YEAST Mitochondrial import inner membrane translocase subunit TIM10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM10 PE=1 SV=1,5,4,4,5,13,5,0
1527,>sp|P89105|CTR9_YEAST RNA polymerase-associated protein CTR9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTR9 PE=1 SV=3,-Inf,4,2,4,6,-Inf,0
1528,>sp|P89886|TMA20_YEAST Translation machinery-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA20 PE=1 SV=1,4,5,10,10,19,4,0
1529,>sp|Q00055|GPD1_YEAST Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPD1 PE=1 SV=4,14,13,24,24,51,14,0
1530,>sp|Q00245|RHO3_YEAST GTP-binding protein RHO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RHO3 PE=1 SV=2,3,5,7,7,15,3,0
1531,>sp|Q00362|2ABA_YEAST Protein phosphatase PP2A regulatory subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC55 PE=1 SV=2,4,-Inf,4,4,8,4,0
1532,>sp|Q00402|NUM1_YEAST Nuclear migration protein NUM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUM1 PE=1 SV=2,9,9,12,12,30,9,0
1533,>sp|Q00618|PGTA_YEAST Geranylgeranyl transferase type-2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BET4 PE=1 SV=3,-Inf,-Inf,2,2,2,-Inf,0
1534,>sp|Q00684|CDC14_YEAST Tyrosine-protein phosphatase CDC14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC14 PE=1 SV=2,2,2,1,2,5,2,0
1535,>sp|Q00764|TPS1_YEAST Alpha-alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPS1 PE=1 SV=2,14,14,16,16,44,14,0
1536,>sp|Q00772|SLT2_YEAST Mitogen-activated protein kinase SLT2/MPK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLT2 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
1537,>sp|Q00816|REG1_YEAST Resistance to glucose repression protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REG1 PE=1 SV=1,5,5,8,8,18,5,0
1538,>sp|Q00955|ACAC_YEAST Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACC1 PE=1 SV=2,76,63,108,108,247,76,0
1539,>sp|Q01080|RPA49_YEAST DNA-directed RNA polymerase I subunit RPA49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPA49 PE=1 SV=2,4,4,5,5,13,4,0
1540,>sp|Q01159|MCE1_YEAST mRNA-capping enzyme subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CEG1 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
1541,>sp|Q01454|CTF4_YEAST DNA polymerase alpha-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTF4 PE=1 SV=2,-Inf,1,1,1,2,-Inf,0
1542,>sp|Q01476|UBP2_YEAST Ubiquitin carboxyl-terminal hydrolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBP2 PE=1 SV=2,8,8,1,8,17,8,0
1543,>sp|Q01477|UBP3_YEAST Ubiquitin carboxyl-terminal hydrolase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBP3 PE=1 SV=1,7,8,7,8,22,7,0
1544,>sp|Q01532|BLH1_YEAST Cysteine proteinase 1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LAP3 PE=1 SV=3,6,6,13,13,25,6,0
1545,>sp|Q01560|NOP3_YEAST Nucleolar protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NPL3 PE=1 SV=1,13,9,15,15,37,13,0
1546,>sp|Q01574|ACS1_YEAST Acetyl-coenzyme A synthetase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACS1 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
1547,>sp|Q01590|SED5_YEAST Integral membrane protein SED5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SED5 PE=1 SV=1,-Inf,1,1,1,2,-Inf,0
1548,>sp|Q01662|MAP1_YEAST Methionine aminopeptidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAP1 PE=1 SV=2,7,6,12,12,25,7,0
1549,>sp|Q01852|TIM44_YEAST Mitochondrial import inner membrane translocase subunit TIM44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM44 PE=1 SV=1,6,4,15,15,25,6,0
1550,>sp|Q01855|RS15_YEAST 40S ribosomal protein S15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS15 PE=1 SV=1,7,6,13,13,26,7,0
1551,>sp|Q01939|PRS8_YEAST 26S proteasome regulatory subunit 8 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPT6 PE=1 SV=4,12,11,17,17,40,12,0
1552,>sp|Q01976|ADPP_YEAST ADP-ribose pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YSA1 PE=1 SV=2,4,5,5,5,14,4,0
1553,>sp|Q02046|MTD1_YEAST Methylenetetrahydrofolate dehydrogenase [NAD(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MTD1 PE=1 SV=1,10,8,12,12,30,10,0
1554,>sp|Q02159|UBC7_YEAST Ubiquitin-conjugating enzyme E2 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC7 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1555,>sp|Q02196|KAPS_YEAST Adenylyl-sulfate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET14 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1556,>sp|Q02199|NUP49_YEAST Nucleoporin NUP49/NSP49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP49 PE=1 SV=1,2,-Inf,-Inf,2,2,2,0
1557,>sp|Q02201|OSH6_YEAST Oxysterol-binding protein homolog 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OSH6 PE=1 SV=1,3,-Inf,7,7,10,3,0
1558,>sp|Q02206|RSC4_YEAST Chromatin structure-remodeling complex subunit RSC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSC4 PE=1 SV=2,2,1,1,2,4,2,0
1559,>sp|Q02256|PVH1_YEAST Tyrosine-protein phosphatase YVH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YVH1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1560,>sp|Q02326|RL6A_YEAST 60S ribosomal protein L6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL6A PE=1 SV=2,33,9,36,36,78,33,0
1561,>sp|Q02455|MLP1_YEAST Protein MLP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLP1 PE=1 SV=2,11,9,9,11,29,11,0
1562,>sp|Q02486|ABF2_YEAST ARS-binding factor 2- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ABF2 PE=1 SV=1,7,6,9,9,22,7,0
1563,>sp|Q02629|NU100_YEAST Nucleoporin NUP100/NSP100 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP100 PE=1 SV=1,-Inf,-Inf,3,3,3,-Inf,0
1564,>sp|Q02630|NU116_YEAST Nucleoporin NUP116/NSP116 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP116 PE=1 SV=2,-Inf,1,2,2,3,-Inf,0
1565,>sp|Q02642|NACB1_YEAST Nascent polypeptide-associated complex subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EGD1 PE=1 SV=2,1,1,7,7,9,1,0
1566,>sp|Q02647|DYL1_YEAST Dynein light chain 1- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DYN2 PE=1 SV=1,1,1,2,2,4,1,0
1567,>sp|Q02725|VTC3_YEAST Vacuolar transporter chaperone 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC3 PE=1 SV=1,26,29,41,41,96,26,0
1568,>sp|Q02753|RL21A_YEAST 60S ribosomal protein L21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL21A PE=1 SV=1,1,-Inf,33,33,34,1,0
1569,>sp|Q02754|YP067_YEAST Uncharacterized protein YPL067C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPL067C PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1570,>sp|Q02774|SHR3_YEAST Secretory component protein SHR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SHR3 PE=1 SV=2,1,1,-Inf,1,2,1,0
1571,>sp|Q02776|TIM50_YEAST Mitochondrial import inner membrane translocase subunit TIM50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM50 PE=1 SV=1,5,7,17,17,29,5,0
1572,>sp|Q02784|GLRX5_YEAST Monothiol glutaredoxin-5- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GRX5 PE=1 SV=1,1,-Inf,2,2,3,1,0
1573,>sp|Q02785|PDR12_YEAST ATP-dependent permease PDR12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR12 PE=1 SV=1,-Inf,-Inf,4,4,4,-Inf,0
1574,>sp|Q02795|OSTD_YEAST Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SWP1 PE=1 SV=1,-Inf,1,2,2,3,-Inf,0
1575,>sp|Q02821|IMA1_YEAST Importin subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRP1 PE=1 SV=1,6,5,10,10,21,6,0
1576,>sp|Q02875|SYH1_YEAST SMY2 homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SYH1 PE=1 SV=1,-Inf,3,10,10,13,-Inf,0
1577,>sp|Q02884|ELP4_YEAST Elongator complex protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ELP4 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1578,>sp|Q02887|ATG21_YEAST Autophagy-related protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATG21 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1579,>sp|Q02889|MGR2_YEAST Protein MGR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MGR2 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1580,>sp|Q02892|NOG1_YEAST Nucleolar GTP-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOG1 PE=1 SV=1,5,3,4,5,12,5,0
1581,>sp|Q02896|YDC1_YEAST Alkaline ceramidase YDC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDC1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1582,>sp|Q02931|UTP17_YEAST NET1-associated nuclear protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAN1 PE=1 SV=1,-Inf,1,5,5,6,-Inf,0
1583,>sp|Q02932|KA120_YEAST Importin beta-like protein KAP120 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAP120 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1584,>sp|Q02933|RNY1_YEAST Ribonuclease T2-like OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNY1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1585,>sp|Q02948|BECN1_YEAST Vacuolar protein sorting-associated protein 30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS30 PE=1 SV=1,3,-Inf,-Inf,3,3,3,0
1586,>sp|Q02959|HOS3_YEAST Histone deacetylase HOS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOS3 PE=1 SV=1,-Inf,2,-Inf,2,2,-Inf,0
1587,>sp|Q03010|UME1_YEAST Transcriptional regulatory protein UME1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UME1 PE=1 SV=1,1,-Inf,2,2,3,1,0
1588,>sp|Q03020|ISU1_YEAST Iron sulfur cluster assembly protein 1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISU1 PE=1 SV=1,1,1,1,1,3,1,0
1589,>sp|Q03048|COFI_YEAST Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COF1 PE=1 SV=1,5,5,14,14,24,5,0
1590,>sp|Q03063|DIG1_YEAST Down-regulator of invasive growth 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIG1 PE=1 SV=1,1,-Inf,1,1,2,1,0
1591,>sp|Q03088|SVL3_YEAST Styryl dye vacuolar localization protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SVL3 PE=1 SV=1,1,-Inf,3,3,4,1,0
1592,>sp|Q03102|YMN1_YEAST Uncharacterized membrane protein YML131W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YML131W PE=1 SV=1,5,8,7,8,20,5,0
1593,>sp|Q03103|ERO1_YEAST Endoplasmic oxidoreductin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERO1 PE=1 SV=1,1,1,3,3,5,1,0
1594,>sp|Q03104|MSC1_YEAST Meiotic sister chromatid recombination protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSC1 PE=1 SV=1,13,9,22,22,44,13,0
1595,>sp|Q03124|RSC9_YEAST Chromatin structure-remodeling complex subunit RSC9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSC9 PE=1 SV=1,-Inf,1,4,4,5,-Inf,0
1596,>sp|Q03161|YMY9_YEAST Glucose-6-phosphate 1-epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMR099C PE=1 SV=1,8,5,15,15,28,8,0
1597,>sp|Q03195|RLI1_YEAST Translation initiation factor RLI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RLI1 PE=1 SV=1,10,9,17,17,36,10,0
1598,>sp|Q03219|YM44_YEAST Uncharacterized protein YMR178W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMR178W PE=1 SV=1,2,1,1,2,4,2,0
1599,>sp|Q03262|PGM3_YEAST Phosphoribomutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRM15 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1600,>sp|Q03280|TOM1_YEAST E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM1 PE=1 SV=1,-Inf,4,5,5,9,-Inf,0
1601,>sp|Q03337|TRS31_YEAST Trafficking protein particle complex subunit 31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRS31 PE=1 SV=1,1,-Inf,1,1,2,1,0
1602,>sp|Q03362|YD476_YEAST Uncharacterized protein YDR476C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDR476C PE=1 SV=1,1,-Inf,3,3,4,1,0
1603,>sp|Q03497|STE20_YEAST Serine/threonine-protein kinase STE20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE20 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1604,>sp|Q03529|SCS7_YEAST Ceramide very long chain fatty acid hydroxylase SCS7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCS7 PE=1 SV=1,1,1,2,2,4,1,0
1605,>sp|Q03532|HAS1_YEAST ATP-dependent RNA helicase HAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HAS1 PE=1 SV=1,5,4,8,8,17,5,0
1606,>sp|Q03533|TDA1_YEAST Serine/threonine-protein kinase TDA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDA1 PE=1 SV=1,2,2,4,4,8,2,0
1607,>sp|Q03558|OYE2_YEAST NADPH dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OYE2 PE=1 SV=3,43,38,57,57,138,43,0
1608,>sp|Q03559|YM8V_YEAST Uncharacterized protein YMR295C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMR295C PE=1 SV=1,3,-Inf,2,3,5,3,0
1609,>sp|Q03579|LIP1_YEAST Ceramide synthase subunit LIP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LIP1 PE=1 SV=1,-Inf,2,1,2,3,-Inf,0
1610,>sp|Q03629|YMH9_YEAST Uncharacterized protein YML079W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YML079W PE=1 SV=1,-Inf,-Inf,4,4,4,-Inf,0
1611,>sp|Q03640|TCB3_YEAST Tricalbin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCB3 PE=1 SV=1,11,11,20,20,42,11,0
1612,>sp|Q03653|EFR3_YEAST Protein EFR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFR3 PE=1 SV=1,-Inf,3,2,3,5,-Inf,0
1613,>sp|Q03655|GAS3_YEAST Probable 1-3-beta-glucanosyltransferase GAS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAS3 PE=1 SV=1,6,4,9,9,19,6,0
1614,>sp|Q03656|SKY1_YEAST Serine/threonine-protein kinase SKY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SKY1 PE=1 SV=1,1,-Inf,-Inf,1,1,1,0
1615,>sp|Q03661|ESC1_YEAST Silent chromatin protein ESC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ESC1 PE=1 SV=1,2,-Inf,3,3,5,2,0
1616,>sp|Q03667|MIX17_YEAST Mitochondrial intermembrane space cysteine motif-containing protein MIX17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIX17 PE=1 SV=1,-Inf,1,1,1,2,-Inf,0
1617,>sp|Q03690|CLU_YEAST Clustered mitochondria protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CLU1 PE=1 SV=1,38,31,58,58,127,38,0
1618,>sp|Q03705|CG121_YEAST EKC/KEOPS complex subunit CGI121 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CGI121 PE=1 SV=1,1,2,3,3,6,1,0
1619,>sp|Q03707|SRC1_YEAST Inner nuclear membrane protein SRC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRC1 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
1620,>sp|Q03735|NAB6_YEAST RNA-binding protein NAB6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAB6 PE=1 SV=1,-Inf,1,-Inf,1,1,-Inf,0
1621,>sp|Q03761|TAF12_YEAST Transcription initiation factor TFIID subunit 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAF12 PE=1 SV=1,-Inf,-Inf,3,3,3,-Inf,0
1622,>sp|Q03768|GIR2_YEAST Protein GIR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GIR2 PE=1 SV=1,-Inf,-Inf,5,5,5,-Inf,0
1623,>sp|Q03769|ENT5_YEAST Epsin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENT5 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1624,>sp|Q03771|ACL4_YEAST Assembly chaperone of RPL4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACL4 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1625,>sp|Q03774|TRM82_YEAST tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRM82 PE=1 SV=1,-Inf,1,-Inf,1,1,-Inf,0
